model,hardware,tier,throughput_imgs_s,total_energy_j,accuracy_pct,is_projected,quantum_speedup,note
VGG16 Baseline,RTX 3070 Laptop,1,61004.7,1278.7778,86.74,False,1.0,Real measurement on consumer hardware
VGG16 Baseline,NVIDIA A100 80GB,2,594170.1,5.72,86.74,True,1.0,Projected via TFLOPS ratio (0.75 sub-linear scaling). Source: NVIDIA A100 80GB SXM4 datasheet (2023)
VGG16 Baseline,NVIDIA T4 (Cloud),2,183222.9,3.25,86.74,True,1.0,Projected via TFLOPS ratio (0.75 sub-linear scaling). Source: NVIDIA T4 datasheet (2022)
VGG16 Pruned 20%,RTX 3070 Laptop,1,61540.2,1254.6489,88.02,False,1.0,Real measurement on consumer hardware
VGG16 Pruned 20%,NVIDIA A100 80GB,2,599385.7,5.67,88.02,True,1.0,Projected via TFLOPS ratio (0.75 sub-linear scaling). Source: NVIDIA A100 80GB SXM4 datasheet (2023)
VGG16 Pruned 20%,NVIDIA T4 (Cloud),2,184831.3,3.22,88.02,True,1.0,Projected via TFLOPS ratio (0.75 sub-linear scaling). Source: NVIDIA T4 datasheet (2022)
VGG16 Pruned 40%,RTX 3070 Laptop,1,62130.5,1208.5037,88.14,False,1.0,Real measurement on consumer hardware
VGG16 Pruned 40%,NVIDIA A100 80GB,2,605135.1,5.62,88.14,True,1.0,Projected via TFLOPS ratio (0.75 sub-linear scaling). Source: NVIDIA A100 80GB SXM4 datasheet (2023)
VGG16 Pruned 40%,NVIDIA T4 (Cloud),2,186604.2,3.19,88.14,True,1.0,Projected via TFLOPS ratio (0.75 sub-linear scaling). Source: NVIDIA T4 datasheet (2022)
VGG16 Pruned 60%,RTX 3070 Laptop,1,61830.5,1255.6602,88.13,False,1.0,Real measurement on consumer hardware
VGG16 Pruned 60%,NVIDIA A100 80GB,2,602213.2,5.65,88.13,True,1.0,Projected via TFLOPS ratio (0.75 sub-linear scaling). Source: NVIDIA A100 80GB SXM4 datasheet (2023)
VGG16 Pruned 60%,NVIDIA T4 (Cloud),2,185703.2,3.2,88.13,True,1.0,Projected via TFLOPS ratio (0.75 sub-linear scaling). Source: NVIDIA T4 datasheet (2022)
VGG16 Dyn Quant,Ryzen 7 6800H (CPU-only),1,585.1,8374.6941,86.73,False,1.0,Real measurement on consumer hardware
VGG16 Dyn Quant,NVIDIA A100 80GB,2,89042.6,38.18,86.73,True,1.0,Projected via TFLOPS ratio (0.75 sub-linear scaling). Source: NVIDIA A100 80GB SXM4 datasheet (2023)
VGG16 Dyn Quant,NVIDIA T4 (Cloud),2,27457.9,21.67,86.73,True,1.0,Projected via TFLOPS ratio (0.75 sub-linear scaling). Source: NVIDIA T4 datasheet (2022)
VGG16 Dyn Quant,AMD EPYC 7763 (Server CPU),2,2571.9,762.08,86.73,True,1.0,Projected via TFLOPS ratio (0.75 sub-linear scaling). Source: AMD EPYC 7763 specs + Cinebench R23 multi-thread scaling
VGG16 QIGA,RTX 3070 Laptop,1,60912.3,1233.7176,87.04,False,1.0,Real measurement on consumer hardware
VGG16 QIGA,NVIDIA A100 80GB,2,593270.2,5.73,87.04,True,1.0,Projected via TFLOPS ratio (0.75 sub-linear scaling). Source: NVIDIA A100 80GB SXM4 datasheet (2023)
VGG16 QIGA,NVIDIA T4 (Cloud),2,182945.4,3.25,87.04,True,1.0,Projected via TFLOPS ratio (0.75 sub-linear scaling). Source: NVIDIA T4 datasheet (2022)
VGG16 QIGA,IBM Eagle (127 qubits),3,60912.3,70187.16,87.04,True,8,Speedup from quantum superposition (population-parallel). Energy dominated by cryogenic cooling (25 kW). Near-term NISQ device assumed (Preskill 2018).
VGG16 QIGA,Google Sycamore (53 qubits),3,60912.3,70187.16,87.04,True,8,Speedup from quantum superposition (population-parallel). Energy dominated by cryogenic cooling (25 kW). Near-term NISQ device assumed (Preskill 2018).
VGG16 QISA,RTX 3070 Laptop,1,61736.1,1243.4762,86.61,False,1.0,Real measurement on consumer hardware
VGG16 QISA,NVIDIA A100 80GB,2,601293.8,5.65,86.61,True,1.0,Projected via TFLOPS ratio (0.75 sub-linear scaling). Source: NVIDIA A100 80GB SXM4 datasheet (2023)
VGG16 QISA,NVIDIA T4 (Cloud),2,185419.7,3.21,86.61,True,1.0,Projected via TFLOPS ratio (0.75 sub-linear scaling). Source: NVIDIA T4 datasheet (2022)
VGG16 QISA,IBM Eagle (127 qubits),3,61736.1,140470.59,86.61,True,4.0,Speedup from quantum tunnelling (barrier-free). Energy dominated by cryogenic cooling (25 kW). Near-term NISQ device assumed (Preskill 2018).
VGG16 QISA,Google Sycamore (53 qubits),3,61736.1,140470.59,86.61,True,4.0,Speedup from quantum tunnelling (barrier-free). Energy dominated by cryogenic cooling (25 kW). Near-term NISQ device assumed (Preskill 2018).
